date,hour,product,place and stage,price,place,quantitiy,longitude,latitude
24/03/2018,14:31,Cerveja Bud,AMBULANTE ALCHOLICO.Perry,13,AMBULANTE ALCHOLICO,1,-46.69767589999999,-23.704772199999997
23/03/2018,22:48,Água,BudStage.FoodCourt.Bar33,6,BARES,1,-46.6990456,-23.7017222
23/03/2018,19:43,Carne,PASTELARIA ORIENTE.BudStage,15,PASTELARIA ORIENTE,1,-46.6999285,-23.700236800000003
23/03/2018,17:49,Cerveja Bud,AFC.Bar38,13,BARES,1,-46.6992874,-23.6989107
23/03/2018,16:52,Cerveja Beats,AMBULANTE ALCHOLICO.OnixStage,15,AMBULANTE ALCHOLICO,1,-46.6970446,-23.6985499
23/03/2018,16:15,Cerveja Bud,AxeStage.bar56,13,BARES,1,-46.6972499,-23.697205
25/03/2018,22:13,Burger 120g,GIRAFFAS.Ambulante.Perry,22,GIRAFFAS,1,-46.6978571,-23.703898199999998
25/03/2018,21:20,Cerveja Beats,AMBULANTE ALCHOLICO.Perry,15,AMBULANTE ALCHOLICO,1,-46.69767589999999,-23.704772199999997
25/03/2018,18:42,Spirit,OnixStage.Microbar21,30,MICROBAR,2,-46.6971549,-23.698581100000002
25/03/2018,17:06,Cerveja Bud,OnixStage.Microbar28,13,MICROBAR,1,-46.6971549,-23.698581100000002
25/03/2018,13:45,Cerveja Bud,OnixStage.Microbar21,13,MICROBAR,1,-46.6971549,-23.698581100000002
24/03/2018,21:56,Spirit,AFC.Bar47,15,BARES,1,-46.699144,-23.6990384
24/03/2018,21:06,Cerveja Bud,AMBULANTE ALCHOLICO.AxeStage,13,AMBULANTE ALCHOLICO,1,-46.6971902,-23.6973671
24/03/2018,17:05,Hot Dog Simples,MASTER TEAM DOG.afc,15,MASTER TEAM DOG,1,-46.699133,-23.699227399999998
